 Total leads: 3433298
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Dragapult          |  5.51371% | 189302 |  5.514% | 
 | 2    | Excadrill          |  4.34203% | 149075 |  4.342% | 
 | 3    | Seismitoad         |  4.14872% | 142438 |  4.149% | 
 | 4    | Cinderace          |  3.76577% | 129290 |  3.766% | 
 | 5    | Ferrothorn         |  3.76154% | 129145 |  3.762% | 
 | 6    | Rotom-Heat         |  3.04017% | 104378 |  3.040% | 
 | 7    | Torkoal            |  2.98660% | 102539 |  2.987% | 
 | 8    | Grimmsnarl         |  2.55189% | 87614  |  2.552% | 
 | 9    | Pelipper           |  2.48018% | 85152  |  2.480% | 
 | 10   | Zeraora            |  2.21423% | 76021  |  2.214% | 
 | 11   | Clefable           |  2.09769% | 72020  |  2.098% | 
 | 12   | Rotom-Wash         |  1.99019% | 68329  |  1.990% | 
 | 13   | Mew                |  1.96345% | 67411  |  1.963% | 
 | 14   | Hydreigon          |  1.95716% | 67195  |  1.957% | 
 | 15   | Dracovish          |  1.63219% | 56038  |  1.632% | 
 | 16   | Dugtrio            |  1.56092% | 53591  |  1.561% | 
 | 17   | Tyranitar          |  1.52352% | 52307  |  1.524% | 
 | 18   | Conkeldurr         |  1.46984% | 50464  |  1.470% | 
 | 19   | Corviknight        |  1.41814% | 48689  |  1.418% | 
 | 20   | Kommo-o            |  1.40230% | 48145  |  1.402% | 
 | 21   | Cloyster           |  1.39685% | 47958  |  1.397% | 
 | 22   | Obstagoon          |  1.34990% | 46346  |  1.350% | 
 | 23   | Toxapex            |  1.31052% | 44994  |  1.311% | 
 | 24   | Darmanitan         |  1.30551% | 44822  |  1.306% | 
 | 25   | Galvantula         |  1.20680% | 41433  |  1.207% | 
 | 26   | Rotom-Mow          |  1.17712% | 40414  |  1.177% | 
 | 27   | Hatterene          |  1.17394% | 40305  |  1.174% | 
 | 28   | Togekiss           |  1.11458% | 38267  |  1.115% | 
 | 29   | Incineroar         |  1.09350% | 37543  |  1.093% | 
 | 30   | Ribombee           |  1.03338% | 35479  |  1.033% | 
 | 31   | Toxtricity         |  1.01299% | 34779  |  1.013% | 
 | 32   | Shuckle            |  1.00370% | 34460  |  1.004% | 
 | 33   | Gengar             |  0.91783% | 31512  |  0.918% | 
 | 34   | Terrakion          |  0.90551% | 31089  |  0.906% | 
 | 35   | Jirachi            |  0.90412% | 31041  |  0.904% | 
 | 36   | Aegislash          |  0.90350% | 31020  |  0.904% | 
 | 37   | Mandibuzz          |  0.86867% | 29824  |  0.869% | 
 | 38   | Corsola-Galar      |  0.84819% | 29121  |  0.848% | 
 | 39   | Crawdaunt          |  0.69711% | 23934  |  0.697% | 
 | 40   | Hippowdon          |  0.68293% | 23447  |  0.683% | 
 | 41   | Vikavolt           |  0.66574% | 22857  |  0.666% | 
 | 42   | Keldeo             |  0.64291% | 22073  |  0.643% | 
 | 43   | Ninetales-Alola    |  0.63933% | 21950  |  0.639% | 
 | 44   | Gyarados           |  0.57263% | 19660  |  0.573% | 
 | 45   | Mamoswine          |  0.56875% | 19527  |  0.569% | 
 | 46   | Kyurem             |  0.55142% | 18932  |  0.551% | 
 | 47   | Bisharp            |  0.55020% | 18890  |  0.550% | 
 | 48   | Araquanid          |  0.53893% | 18503  |  0.539% | 
 | 49   | Melmetal           |  0.52221% | 17929  |  0.522% | 
 | 50   | Weavile            |  0.51956% | 17838  |  0.520% | 
 | 51   | Ditto              |  0.48618% | 16692  |  0.486% | 
 | 52   | Ninetales          |  0.48391% | 16614  |  0.484% | 
 | 53   | Runerigus          |  0.44284% | 15204  |  0.443% | 
 | 54   | Primarina          |  0.43530% | 14945  |  0.435% | 
 | 55   | Chandelure         |  0.42324% | 14531  |  0.423% | 
 | 56   | Salazzle           |  0.40512% | 13909  |  0.405% | 
 | 57   | Mimikyu            |  0.40451% | 13888  |  0.405% | 
 | 58   | Blastoise          |  0.38756% | 13306  |  0.388% | 
 | 59   | Celebi             |  0.37771% | 12968  |  0.378% | 
 | 60   | Weezing-Galar      |  0.35907% | 12328  |  0.359% | 
 | 61   | Sylveon            |  0.35887% | 12321  |  0.359% | 
 | 62   | Polteageist        |  0.33688% | 11566  |  0.337% | 
 | 63   | Necrozma           |  0.32563% | 11180  |  0.326% | 
 | 64   | Orbeetle           |  0.32485% | 11153  |  0.325% | 
 | 65   | Sirfetch'd         |  0.31171% | 10702  |  0.312% | 
 | 66   | Whimsicott         |  0.30967% | 10632  |  0.310% | 
 | 67   | Kyurem-Black       |  0.28806% | 9890   |  0.288% | 
 | 68   | Dracozolt          |  0.28474% | 9776   |  0.285% | 
 | 69   | Sandaconda         |  0.28017% | 9619   |  0.280% | 
 | 70   | Centiskorch        |  0.26590% | 9129   |  0.266% | 
 | 71   | Pincurchin         |  0.26217% | 9001   |  0.262% | 
 | 72   | Heliolisk          |  0.26214% | 9000   |  0.262% | 
 | 73   | Arcanine           |  0.25273% | 8677   |  0.253% | 
 | 74   | Espeon             |  0.24944% | 8564   |  0.249% | 
 | 75   | Vanilluxe          |  0.24656% | 8465   |  0.247% | 
 | 76   | Cobalion           |  0.24382% | 8371   |  0.244% | 
 | 77   | Bronzong           |  0.23831% | 8182   |  0.238% | 
 | 78   | Venusaur           |  0.21720% | 7457   |  0.217% | 
 | 79   | Inteleon           |  0.21236% | 7291   |  0.212% | 
 | 80   | Morpeko            |  0.21163% | 7266   |  0.212% | 
 | 81   | Hawlucha           |  0.20983% | 7204   |  0.210% | 
 | 82   | Roserade           |  0.20942% | 7190   |  0.209% | 
 | 83   | Gardevoir          |  0.20048% | 6883   |  0.200% | 
 | 84   | Durant             |  0.20004% | 6868   |  0.200% | 
 | 85   | Duraludon          |  0.19920% | 6839   |  0.199% | 
 | 86   | Haxorus            |  0.19707% | 6766   |  0.197% | 
 | 87   | Accelgor           |  0.19448% | 6677   |  0.194% | 
 | 88   | Indeedee           |  0.18702% | 6421   |  0.187% | 
 | 89   | Diggersby          |  0.18297% | 6282   |  0.183% | 
 | 90   | Flygon             |  0.17767% | 6100   |  0.178% | 
 | 91   | Rhyperior          |  0.17700% | 6077   |  0.177% | 
 | 92   | Reuniclus          |  0.17624% | 6051   |  0.176% | 
 | 93   | Golisopod          |  0.17607% | 6045   |  0.176% | 
 | 94   | Drapion            |  0.17441% | 5988   |  0.174% | 
 | 95   | Charizard          |  0.17429% | 5984   |  0.174% | 
 | 96   | Gastrodon          |  0.17255% | 5924   |  0.173% | 
 | 97   | Coalossal          |  0.16978% | 5829   |  0.170% | 
 | 98   | Noivern            |  0.16821% | 5775   |  0.168% | 
 | 99   | Rillaboom          |  0.16719% | 5740   |  0.167% | 
 | 100  | Slurpuff           |  0.15921% | 5466   |  0.159% | 
 | 101  | Jolteon            |  0.15900% | 5459   |  0.159% | 
 | 102  | Lucario            |  0.15603% | 5357   |  0.156% | 
 | 103  | Cramorant          |  0.15533% | 5333   |  0.155% | 
 | 104  | Machamp            |  0.15385% | 5282   |  0.154% | 
 | 105  | Persian-Alola      |  0.14881% | 5109   |  0.149% | 
 | 106  | Sableye            |  0.14587% | 5008   |  0.146% | 
 | 107  | Decidueye          |  0.14322% | 4917   |  0.143% | 
 | 108  | Snorlax            |  0.14316% | 4915   |  0.143% | 
 | 109  | Goodra             |  0.13637% | 4682   |  0.136% | 
 | 110  | Milotic            |  0.13486% | 4630   |  0.135% | 
 | 111  | Froslass           |  0.13404% | 4602   |  0.134% | 
 | 112  | Cinccino           |  0.13357% | 4586   |  0.134% | 
