 Total battles: 1716649
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 34.51818% | 1185112 | 34.518% | 891854 | 33.264% | 
 | 2    | Corviknight        | 24.96556% | 857142 | 24.966% | 673700 | 25.128% | 
 | 3    | Cinderace          | 21.20585% | 728060 | 21.206% | 562778 | 20.990% | 
 | 4    | Excadrill          | 20.89539% | 717401 | 20.895% | 564015 | 21.037% | 
 | 5    | Clefable           | 19.67805% | 675606 | 19.678% | 537019 | 20.030% | 
 | 6    | Ferrothorn         | 18.87914% | 648177 | 18.879% | 552849 | 20.620% | 
 | 7    | Seismitoad         | 18.62067% | 639303 | 18.621% | 547444 | 20.419% | 
 | 8    | Dracovish          | 14.48342% | 497259 | 14.483% | 372081 | 13.878% | 
 | 9    | Hydreigon          | 13.08867% | 449373 | 13.089% | 342883 | 12.789% | 
 | 10   | Aegislash          | 12.34408% | 423809 | 12.344% | 326697 | 12.185% | 
 | 11   | Rotom-Heat         | 12.32145% | 423032 | 12.321% | 354717 | 13.230% | 
 | 12   | Zeraora            | 12.09342% | 415203 | 12.093% | 329245 | 12.280% | 
 | 13   | Conkeldurr         | 11.54741% | 396457 | 11.547% | 311672 | 11.625% | 
 | 14   | Toxapex            | 10.88877% | 373844 | 10.889% | 301173 | 11.233% | 
 | 15   | Togekiss           | 10.47695% | 359705 | 10.477% | 276390 | 10.309% | 
 | 16   | Mandibuzz          | 10.21289% | 350639 | 10.213% | 277927 | 10.366% | 
 | 17   | Kommo-o            |  9.48383% | 325608 |  9.484% | 251255 |  9.371% | 
 | 18   | Grimmsnarl         |  9.40300% | 322833 |  9.403% | 259373 |  9.674% | 
 | 19   | Cloyster           |  9.30345% | 319415 |  9.303% | 232821 |  8.684% | 
 | 20   | Bisharp            |  9.28847% | 318901 |  9.288% | 233662 |  8.715% | 
 | 21   | Dugtrio            |  9.14875% | 314104 |  9.149% | 241145 |  8.994% | 
 | 22   | Hatterene          |  9.11712% | 313018 |  9.117% | 246448 |  9.192% | 
 | 23   | Toxtricity         |  8.25451% | 283402 |  8.255% | 209787 |  7.825% | 
 | 24   | Tyranitar          |  7.82242% | 268567 |  7.822% | 214088 |  7.985% | 
 | 25   | Rotom-Wash         |  7.44223% | 255514 |  7.442% | 214634 |  8.005% | 
 | 26   | Gengar             |  7.17237% | 246249 |  7.172% | 180390 |  6.728% | 
 | 27   | Obstagoon          |  7.09370% | 243548 |  7.094% | 187834 |  7.006% | 
 | 28   | Sylveon            |  6.32462% | 217143 |  6.325% | 165492 |  6.173% | 
 | 29   | Torkoal            |  6.14447% | 210958 |  6.144% | 197350 |  7.361% | 
 | 30   | Gyarados           |  6.12006% | 210120 |  6.120% | 157980 |  5.892% | 
 | 31   | Venusaur           |  5.93575% | 203792 |  5.936% | 166281 |  6.202% | 
 | 32   | Mimikyu            |  5.91740% | 203162 |  5.917% | 147537 |  5.503% | 
 | 33   | Darmanitan         |  5.87409% | 201675 |  5.874% | 157194 |  5.863% | 
 | 34   | Ditto              |  5.86591% | 201394 |  5.866% | 141083 |  5.262% | 
 | 35   | Pelipper           |  5.70985% | 196036 |  5.710% | 177168 |  6.608% | 
 | 36   | Terrakion          |  5.44098% | 186805 |  5.441% | 140876 |  5.254% | 
 | 37   | Mew                |  5.15091% | 176846 |  5.151% | 145644 |  5.432% | 
 | 38   | Keldeo             |  4.93016% | 169267 |  4.930% | 130502 |  4.867% | 
 | 39   | Rotom-Mow          |  4.58821% | 157527 |  4.588% | 127493 |  4.755% | 
 | 40   | Jirachi            |  4.43483% | 152261 |  4.435% | 121672 |  4.538% | 
 | 41   | Crawdaunt          |  4.36601% | 149898 |  4.366% | 114699 |  4.278% | 
 | 42   | Blastoise          |  4.24793% | 145844 |  4.248% | 108356 |  4.041% | 
 | 43   | Corsola-Galar      |  4.22334% | 145000 |  4.223% | 112172 |  4.184% | 
 | 44   | Incineroar         |  4.14022% | 142146 |  4.140% | 121313 |  4.525% | 
 | 45   | Melmetal           |  3.75837% | 129036 |  3.758% | 105294 |  3.927% | 
 | 46   | Hawlucha           |  3.46285% | 118890 |  3.463% | 85724  |  3.197% | 
 | 47   | Kyurem             |  3.28891% | 112918 |  3.289% | 85108  |  3.174% | 
 | 48   | Kyurem-Black       |  3.17566% | 109030 |  3.176% | 78001  |  2.909% | 
 | 49   | Primarina          |  2.80014% | 96137  |  2.800% | 78245  |  2.918% | 
 | 50   | Chandelure         |  2.76917% | 95074  |  2.769% | 73504  |  2.742% | 
 | 51   | Hippowdon          |  2.36545% | 81213  |  2.365% | 70692  |  2.637% | 
 | 52   | Weezing-Galar      |  2.31649% | 79532  |  2.316% | 64434  |  2.403% | 
 | 53   | Gastrodon          |  2.28984% | 78617  |  2.290% | 62025  |  2.313% | 
